# Combined PARSEC isochrone (>= 0.09 Msun) and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Note that W146 mag for M <= 0.08 Msun is just given by (J + 0.021)
#       Mini     MPD      Rad   MJ_2M   MH_2M   MK_2M   MZ087   MW146   MF213
1.0677942038  0.9470   68.431  -4.142  -4.975  -5.245  -3.049  -4.375  -5.238
1.0677980185  0.9440   72.804  -4.247  -5.088  -5.365  -3.123  -4.484  -5.358
1.0678015947  0.9400   77.563  -4.353  -5.203  -5.488  -3.198  -4.595  -5.480
1.0678046942  0.9360   82.595  -4.459  -5.317  -5.610  -3.263  -4.705  -5.602
1.0678076744  0.9320   87.752  -4.561  -5.426  -5.727  -3.323  -4.810  -5.719
1.0678105354  0.9270   93.466  -4.667  -5.538  -5.848  -3.375  -4.918  -5.839
1.0678136349  0.9210  100.082  -4.781  -5.658  -5.978  -3.424  -5.034  -5.969
1.0678168535  0.9130  106.796  -4.890  -5.773  -6.103  -3.452  -5.145  -6.093
1.0678203106  0.9020  113.934  -4.995  -5.884  -6.226  -3.467  -5.252  -6.215
1.0678240061  0.8890  122.646  -5.115  -6.009  -6.364  -3.448  -5.370  -6.353
1.0678262711  0.8790  118.674  -5.056  -5.948  -6.299  -3.436  -5.312  -6.288
1.0678268671  0.8760  132.025  -5.232  -6.132  -6.501  -3.411  -5.486  -6.488
1.0678269863  0.8760  137.074  -5.294  -6.196  -6.570  -3.405  -5.546  -6.557
1.0678271055  0.8750  140.882  -5.338  -6.242  -6.621  -3.397  -5.590  -6.606
1.0678272247  0.8740  146.169  -5.398  -6.305  -6.689  -3.382  -5.648  -6.674
1.0678274632  0.8730  150.299  -5.442  -6.351  -6.741  -3.369  -5.691  -6.725
1.0678275824  0.8720  154.545  -5.487  -6.399  -6.793  -3.355  -5.735  -6.776
1.0678277016  0.8700  160.937  -5.551  -6.466  -6.866  -3.337  -5.797  -6.847
1.0678280592  0.8680  167.477  -5.616  -6.534  -6.940  -3.319  -5.859  -6.920
1.0678282976  0.8650  174.002  -5.675  -6.596  -7.007  -3.315  -5.915  -6.985
1.0678287745  0.8600  181.240  -5.739  -6.663  -7.079  -3.309  -5.975  -7.055
1.0678291321  0.8550  187.006  -5.786  -6.712  -7.132  -3.303  -6.019  -7.106
# 1.0678291321  0.8550  114.355  -4.978  -5.871  -6.220  -3.368  -5.234  -6.209
1.0678292513  0.8540   90.814  -4.596  -5.469  -5.781  -3.291  -4.848  -5.772
# 1.0678292513  0.8540   67.508  -4.114  -4.945  -5.216  -3.021  -4.347  -5.209
1.0678293705  0.8520   70.820  -4.190  -5.029  -5.306  -3.070  -4.426  -5.299
1.0678296089  0.8510   89.445  -4.570  -5.441  -5.752  -3.275  -4.821  -5.743
1.0678297281  0.8490  119.662  -5.049  -5.946  -6.304  -3.338  -5.305  -6.293
1.0678299665  0.8470  151.934  -5.436  -6.351  -6.746  -3.264  -5.683  -6.729
1.0678302050  0.8440  176.545  -5.679  -6.604  -7.019  -3.247  -5.915  -6.994
1.0678305626  0.8410  190.526  -5.800  -6.728  -7.152  -3.259  -6.027  -7.122
1.0678309202  0.8380  196.678  -5.850  -6.780  -7.208  -3.262  -6.072  -7.175
1.0678312778  0.8340  199.966  -5.872  -6.803  -7.233  -3.259  -6.092  -7.199
# 1.0678312778  0.8340  134.696  -5.233  -6.139  -6.518  -3.272  -5.484  -6.503
1.0678313971  0.8330   97.108  -4.695  -5.577  -5.903  -3.292  -4.950  -5.893
# 1.0678313971  0.8320   72.236  -4.209  -5.055  -5.338  -3.065  -4.449  -5.330
1.0678316355  0.8310   75.658  -4.285  -5.138  -5.427  -3.109  -4.528  -5.420
1.0678317547  0.8290   95.358  -4.664  -5.545  -5.869  -3.280  -4.919  -5.859
1.0678319931  0.8260  127.366  -5.138  -6.041  -6.412  -3.270  -5.391  -6.399
1.0678322315  0.8240  161.196  -5.520  -6.440  -6.847  -3.198  -5.761  -6.825
1.0678325891  0.8200  187.006  -5.758  -6.687  -7.111  -3.216  -5.985  -7.080
1.0678328276  0.8170  201.491  -5.876  -6.808  -7.240  -3.233  -6.093  -7.204
1.0678333044  0.8130  207.805  -5.923  -6.857  -7.291  -3.242  -6.135  -7.252
1.0678336620  0.8080  210.938  -5.944  -6.878  -7.314  -3.243  -6.153  -7.273
# 1.0678336620  0.8080  143.171  -5.321  -6.234  -6.625  -3.198  -5.569  -6.608
1.0678337812  0.8070  103.242  -4.787  -5.675  -6.014  -3.274  -5.043  -6.004
1.0678339005  0.8050   76.728  -4.298  -5.155  -5.448  -3.101  -4.543  -5.440
1.0678340197  0.8030   80.363  -4.373  -5.237  -5.537  -3.140  -4.621  -5.528
1.0678341389  0.8010  101.124  -4.750  -5.637  -5.973  -3.263  -5.006  -5.963
1.0678343773  0.7980  134.541  -5.218  -6.126  -6.509  -3.207  -5.468  -6.493
1.0678347349  0.7940  169.885  -5.594  -6.519  -6.935  -3.157  -5.829  -6.909
1.0678350925  0.7900  196.859  -5.828  -6.760  -7.192  -3.189  -6.045  -7.156
1.0678354502  0.7850  212.009  -5.942  -6.877  -7.315  -3.217  -6.149  -7.273
1.0678358078  0.7790  218.301  -5.987  -6.925  -7.366  -3.224  -6.190  -7.321
1.0678362846  0.7740  221.134  -6.005  -6.944  -7.387  -3.224  -6.206  -7.341
# 1.0678362846  0.7730  151.340  -5.402  -6.320  -6.724  -3.132  -5.646  -6.704
1.0678364038  0.7720  109.057  -4.870  -5.764  -6.114  -3.243  -5.126  -6.104
1.0678365231  0.7700   80.864  -4.379  -5.244  -5.546  -3.136  -4.628  -5.538
1.0678366423  0.7670   84.694  -4.455  -5.325  -5.635  -3.167  -4.706  -5.626
1.0678368807  0.7640  106.379  -4.829  -5.720  -6.067  -3.245  -5.085  -6.057
1.0678371191  0.7600  141.500  -5.290  -6.203  -6.597  -3.147  -5.537  -6.579
1.0678373575  0.7550  178.343  -5.661  -6.590  -7.013  -3.130  -5.889  -6.983
1.0678377151  0.7490  206.517  -5.891  -6.826  -7.264  -3.174  -6.099  -7.222
1.0678380728  0.7430  222.052  -6.002  -6.941  -7.387  -3.200  -6.200  -7.340
