# Combined PARSEC isochrone (>= 0.55 Msun), Henry & McCarthy 1993, AJ, 106, 773's relation (0.09 Msun <= M <= 0.48 Msun), and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
#       Mini     MPD      Rad    MV_j    MI_c   MJ_2M   MH_2M   MK_2M
1.0676025152  0.9860   27.249  -0.179  -1.584  -2.604  -3.245  -3.416
1.0676267147  0.9840   29.031  -0.250  -1.675  -2.712  -3.359  -3.538
1.0676481724  0.9830   30.978  -0.315  -1.769  -2.824  -3.480  -3.664
1.0676672459  0.9820   33.034  -0.376  -1.863  -2.936  -3.602  -3.791
1.0676840544  0.9800   35.209  -0.435  -1.956  -3.047  -3.723  -3.917
1.0676994324  0.9780   37.485  -0.493  -2.048  -3.157  -3.843  -4.042
1.0677137375  0.9760   39.972  -0.542  -2.139  -3.268  -3.963  -4.168
1.0677270889  0.9730   43.058  -0.562  -2.222  -3.382  -4.094  -4.307
1.0677399635  0.9700   46.404  -0.566  -2.305  -3.499  -4.227  -4.449
1.0677521229  0.9670   49.677  -0.588  -2.391  -3.612  -4.353  -4.582
1.0677635670  0.9630   53.071  -0.601  -2.476  -3.725  -4.475  -4.710
1.0677740574  0.9590   56.657  -0.612  -2.561  -3.838  -4.597  -4.839
1.0677832365  0.9540   60.514  -0.606  -2.642  -3.952  -4.720  -4.968
1.0677896738  0.9500   64.425  -0.591  -2.716  -4.059  -4.835  -5.090
1.0677942038  0.9470   68.431  -0.567  -2.784  -4.161  -4.946  -5.207
1.0677980185  0.9440   72.804  -0.518  -2.846  -4.267  -5.058  -5.327
1.0678015947  0.9400   77.563  -0.465  -2.910  -4.373  -5.174  -5.450
1.0678046942  0.9360   82.595  -0.382  -2.959  -4.480  -5.288  -5.571
1.0678076744  0.9320   87.752  -0.295  -3.003  -4.582  -5.397  -5.688
1.0678105354  0.9270   93.466  -0.173  -3.035  -4.689  -5.509  -5.809
1.0678136349  0.9210   99.921  -0.025  -3.060  -4.801  -5.628  -5.937
1.0678168535  0.9130  106.796   0.158  -3.058  -4.911  -5.743  -6.062
1.0678203106  0.9020  113.934   0.368  -3.039  -5.018  -5.855  -6.185
1.0678240061  0.8890  122.646   0.666  -2.973  -5.136  -5.980  -6.322
1.0678262711  0.8790  118.674   0.590  -2.976  -5.079  -5.920  -6.259
1.0678268671  0.8760  132.025   1.001  -2.881  -5.254  -6.104  -6.460
1.0678269863  0.8750  137.865   1.137  -2.847  -5.324  -6.176  -6.538
1.0678271055  0.8750  139.398   1.176  -2.837  -5.344  -6.197  -6.561
1.0678272247  0.8740  146.169   1.347  -2.786  -5.421  -6.277  -6.648
1.0678273439  0.8730  150.299   1.438  -2.755  -5.465  -6.323  -6.699
1.0678274632  0.8720  153.658   1.507  -2.730  -5.500  -6.361  -6.740
1.0678277016  0.8700  160.937   1.650  -2.678  -5.573  -6.437  -6.824
1.0678279400  0.8680  166.861   1.761  -2.636  -5.632  -6.498  -6.890
1.0678282976  0.8650  174.002   1.813  -2.613  -5.697  -6.567  -6.965
1.0678287745  0.8600  181.240   1.866  -2.588  -5.761  -6.635  -7.038
1.0678291321  0.8550  187.006   1.907  -2.567  -5.807  -6.683  -7.091
# 1.0678291321  0.8550  114.197   0.623  -2.917  -5.000  -5.842  -6.178
1.0678292513  0.8540   90.773  -0.053  -2.948  -4.618  -5.440  -5.741
1.0678293705  0.8520   67.570  -0.536  -2.756  -4.135  -4.918  -5.181
