# Combined PARSEC isochrone (>= 0.55 Msun), Henry & McCarthy 1993, AJ, 106, 773's relation (0.09 Msun <= M <= 0.48 Msun), and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
#       Mini     MPD      Rad    MV_j    MI_c   MJ_2M   MH_2M   MK_2M
1.0532956123  0.9750   22.139  -0.050  -1.343  -2.285  -2.897  -3.037
1.0533270836  0.9740   23.635  -0.127  -1.439  -2.397  -3.015  -3.162
1.0533571243  0.9720   25.384  -0.211  -1.544  -2.521  -3.146  -3.299
1.0533833504  0.9710   27.099  -0.286  -1.639  -2.632  -3.265  -3.424
1.0534068346  0.9700   28.917  -0.361  -1.732  -2.743  -3.381  -3.548
1.0534278154  0.9680   30.822  -0.427  -1.827  -2.855  -3.503  -3.675
1.0534462929  0.9660   32.851  -0.491  -1.920  -2.965  -3.624  -3.800
1.0534628630  0.9650   35.015  -0.554  -2.012  -3.075  -3.744  -3.925
1.0534778833  0.9620   37.261  -0.613  -2.104  -3.184  -3.863  -4.049
1.0534918308  0.9600   39.816  -0.661  -2.192  -3.294  -3.986  -4.178
1.0535049438  0.9570   42.949  -0.681  -2.276  -3.409  -4.119  -4.320
1.0535172224  0.9540   46.042  -0.712  -2.360  -3.519  -4.244  -4.452
1.0535291433  0.9500   49.086  -0.751  -2.448  -3.629  -4.364  -4.578
1.0535404682  0.9460   52.331  -0.788  -2.535  -3.739  -4.485  -4.705
1.0535511971  0.9410   55.841  -0.814  -2.620  -3.849  -4.604  -4.830
1.0535612106  0.9350   59.711  -0.829  -2.708  -3.964  -4.730  -4.963
1.0535689592  0.9290   64.055  -0.840  -2.796  -4.083  -4.858  -5.099
1.0535739660  0.9250   68.447  -0.831  -2.875  -4.195  -4.980  -5.227
1.0535781384  0.9210   73.174  -0.817  -2.954  -4.309  -5.103  -5.357
1.0535819530  0.9160   78.335  -0.772  -3.026  -4.423  -5.227  -5.490
1.0535854101  0.9100   83.860  -0.719  -3.094  -4.538  -5.351  -5.621
1.0535883904  0.9040   89.383  -0.644  -3.148  -4.644  -5.465  -5.743
1.0535917282  0.8970   95.908  -0.537  -3.202  -4.762  -5.592  -5.879
1.0535949469  0.8870  102.791  -0.398  -3.236  -4.877  -5.714  -6.010
1.0535986423  0.8740  109.965  -0.240  -3.261  -4.989  -5.833  -6.139
1.0536020994  0.8590  117.046  -0.041  -3.249  -5.090  -5.939  -6.255
1.0536029339  0.8550  121.634   0.080  -3.243  -5.153  -6.005  -6.328
1.0536034107  0.8520  113.699  -0.091  -3.237  -5.040  -5.887  -6.199
1.0536035299  0.8510  115.280  -0.055  -3.237  -5.062  -5.910  -6.225
1.0536038876  0.8500  116.374  -0.025  -3.236  -5.078  -5.927  -6.243
1.0536041260  0.8490  118.674   0.031  -3.234  -5.110  -5.960  -6.280
1.0536042452  0.8480  120.880   0.087  -3.232  -5.140  -5.992  -6.314
1.0536044836  0.8470  123.326   0.149  -3.229  -5.172  -6.026  -6.351
1.0536047220  0.8450  128.367   0.297  -3.204  -5.239  -6.095  -6.427
1.0536050797  0.8430  138.661   0.588  -3.149  -5.366  -6.227  -6.572
1.0536054373  0.8390  150.472   0.879  -3.083  -5.501  -6.366  -6.724
1.0536059141  0.8340  160.863   1.135  -3.014  -5.608  -6.479  -6.847
1.0536066294  0.8260  172.645   1.373  -2.938  -5.721  -6.597  -6.977
1.0536072254  0.8170  179.910   1.513  -2.888  -5.786  -6.664  -7.051
1.0536073446  0.8160  113.280   0.119  -3.138  -5.010  -5.861  -6.179
# 1.0536073446  0.8150   90.023  -0.422  -3.072  -4.627  -5.456  -5.742
1.0536075830  0.8120   66.781  -0.763  -2.817  -4.141  -4.926  -5.175
1.0536078215  0.8080   69.800  -0.731  -2.859  -4.209  -5.002  -5.256
1.0536081791  0.8040   87.671  -0.439  -3.042  -4.579  -5.406  -5.689
1.0536085367  0.7980  116.884   0.267  -3.109  -5.054  -5.908  -6.234
1.0536090136  0.7910  147.793   1.129  -2.930  -5.441  -6.311  -6.673
1.0536094904  0.7840  171.654   1.594  -2.796  -5.685  -6.563  -6.948
1.0536102057  0.7750  185.334   1.701  -2.761  -5.805  -6.687  -7.084
1.0536109209  0.7650  191.494   1.762  -2.735  -5.856  -6.739  -7.141
1.0536116362  0.7550  189.346   1.643  -2.829  -5.861  -6.741  -7.140
# 1.0536116362  0.7550  134.976   0.954  -2.930  -5.277  -6.142  -6.495
1.0536117554  0.7540   97.781  -0.070  -3.038  -4.742  -5.585  -5.888
# 1.0536117554  0.7520   72.536  -0.569  -2.845  -4.251  -5.057  -5.321
1.0536119938  0.7490   75.763  -0.513  -2.880  -4.319  -5.132  -5.402
1.0536121130  0.7460   94.985  -0.084  -3.006  -4.689  -5.531  -5.831
1.0536123514  0.7420  126.635   0.875  -2.906  -5.160  -6.024  -6.370
1.0536125898  0.7380  160.456   1.673  -2.687  -5.545  -6.423  -6.805
1.0536129475  0.7320  187.006   1.888  -2.621  -5.786  -6.671  -7.074
1.0536131859  0.7270  202.561   1.975  -2.598  -5.908  -6.794  -7.208
1.0536136627  0.7200  209.872   2.025  -2.582  -5.959  -6.846  -7.265
1.0536140203  0.7130  190.088   1.464  -2.991  -5.905  -6.783  -7.179
# 1.0536140203  0.7120  147.623   1.551  -2.685  -5.393  -6.269  -6.642
1.0536141396  0.7110  105.793   0.327  -2.962  -4.855  -5.707  -6.027
# 1.0536141396  0.7090   77.563  -0.443  -2.882  -4.351  -5.169  -5.443
1.0536142588  0.7060   80.827  -0.377  -2.911  -4.419  -5.242  -5.521
1.0536144972  0.7020  101.591   0.169  -2.982  -4.790  -5.638  -5.951
1.0536147356  0.6970  135.755   1.261  -2.772  -5.259  -6.128  -6.490
1.0536149740  0.6910  172.367   1.888  -2.577  -5.640  -6.522  -6.920
