# Combined PARSEC isochrone (>= 0.55 Msun), Henry & McCarthy 1993, AJ, 106, 773's relation (0.09 Msun <= M <= 0.48 Msun), and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
#       Mini     MPD      Rad    MV_j    MI_c   MJ_2M   MH_2M   MK_2M
0.8566083312  0.7660   20.714  -0.468  -1.548  -2.351  -2.888  -2.992
0.8566258550  0.7630   22.063  -0.551  -1.649  -2.466  -3.011  -3.117
0.8566418886  0.7600   23.537  -0.632  -1.747  -2.579  -3.133  -3.241
0.8566563129  0.7570   25.070  -0.710  -1.844  -2.692  -3.255  -3.366
0.8566693664  0.7530   26.690  -0.786  -1.940  -2.803  -3.376  -3.491
0.8566809893  0.7480   28.415  -0.858  -2.034  -2.913  -3.497  -3.614
0.8566915393  0.7430   30.252  -0.929  -2.127  -3.023  -3.617  -3.738
0.8567010760  0.7380   32.170  -0.998  -2.219  -3.131  -3.736  -3.860
0.8567097783  0.7310   34.321  -1.060  -2.308  -3.240  -3.859  -3.986
0.8567139506  0.7270   35.822  -1.074  -2.349  -3.300  -3.933  -4.064
0.8567216992  0.7190   38.446  -1.119  -2.433  -3.410  -4.062  -4.198
0.8567292094  0.7080   41.073  -1.172  -2.518  -3.518  -4.184  -4.326
0.8567364216  0.6960   43.647  -1.232  -2.606  -3.623  -4.302  -4.447
0.8567433953  0.6800   46.468  -1.289  -2.694  -3.729  -4.420  -4.569
0.8567497730  0.6610   49.267  -1.347  -2.781  -3.832  -4.534  -4.686
0.8567557931  0.6360   52.306  -1.410  -2.873  -3.939  -4.649  -4.806
0.8567607403  0.6090   55.329  -1.480  -2.967  -4.046  -4.762  -4.922
0.8567643166  0.5830   57.830  -1.559  -3.056  -4.140  -4.855  -5.017
0.8567672968  0.5530   59.014  -1.696  -3.163  -4.226  -4.923  -5.080
0.8567695618  0.5110   55.546  -1.967  -3.296  -4.263  -4.885  -5.022
