# Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
1.067326903 0.991 13.9493074 4526.890609 2.142 -1.437 -2.043 -2.154 -0.739 -1.566 -2.151
1.067338347 0.991 14.80991769 4490.554794 2.09 -1.542 -2.158 -2.272 -0.833 -1.675 -2.27
1.067344427 0.991 15.71638449 4455.536441 2.038 -1.648 -2.274 -2.392 -0.927 -1.785 -2.389
1.067348003 0.991 16.70523713 4419.773361 1.985 -1.754 -2.39 -2.512 -1.022 -1.895 -2.509
1.067350388 0.991 17.74813179 4385.306978 1.933 -1.859 -2.501 -2.628 -1.115 -2.002 -2.625
1.067351699 0.991 18.53329527 4361.139714 1.896 -1.933 -2.579 -2.711 -1.181 -2.078 -2.708
1.067352057 0.991 18.80410402 4352.111366 1.883 -1.959 -2.606 -2.739 -1.203 -2.104 -2.736
1.067353845 0.991 20.18611043 4313.204007 1.822 -2.08 -2.734 -2.874 -1.31 -2.228 -2.871
1.067355514 0.991 21.34286144 4282.525918 1.773 -2.176 -2.836 -2.981 -1.395 -2.326 -2.977
1.067359924 0.991 21.59994498 4276.613475 1.763 -2.197 -2.858 -3.005 -1.414 -2.348 -3.001
1.067364335 0.991 20.84263604 4296.353426 1.793 -2.137 -2.795 -2.938 -1.362 -2.287 -2.934
1.067403913 0.991 20.20936393 4313.204007 1.82 -2.083 -2.738 -2.878 -1.314 -2.231 -2.874
1.067470193 0.99 21.21546939 4285.485204 1.778 -2.166 -2.825 -2.97 -1.386 -2.316 -2.966
1.067508817 0.989 22.50363343 4253.045217 1.726 -2.267 -2.932 -3.083 -1.475 -2.419 -3.079
1.067544818 0.988 23.9470844 4218.907466 1.672 -2.373 -3.044 -3.202 -1.569 -2.528 -3.198
1.067576885 0.987 25.5124781 4185.043727 1.616 -2.482 -3.159 -3.325 -1.665 -2.64 -3.32
1.067604423 0.986 27.19271962 4150.496003 1.56 -2.591 -3.274 -3.447 -1.76 -2.751 -3.442
1.067628622 0.984 28.97027681 4117.18138 1.504 -2.699 -3.388 -3.569 -1.854 -2.862 -3.563
1.06765008 0.983 30.91381793 4083.193863 1.448 -2.81 -3.51 -3.696 -1.952 -2.978 -3.69
1.067669034 0.982 32.96496696 4048.554594 1.391 -2.922 -3.631 -3.823 -2.05 -3.094 -3.818
1.067685962 0.98 35.13602641 4015.133594 1.335 -3.032 -3.752 -3.95 -2.147 -3.21 -3.944
1.06770134 0.978 37.45007095 3981.988487 1.279 -3.142 -3.872 -4.075 -2.243 -3.324 -4.07
1.067715526 0.976 39.88895371 3948.20778 1.223 -3.252 -3.993 -4.202 -2.338 -3.44 -4.196
1.067728996 0.973 42.96874258 3894.933077 1.158 -3.366 -4.124 -4.342 -2.43 -3.562 -4.336
1.067741871 0.97 46.30763962 3841.492592 1.091 -3.482 -4.257 -4.484 -2.521 -3.686 -4.478
1.06775403 0.967 49.5738496 3799.268615 1.03 -3.595 -4.383 -4.618 -2.614 -3.806 -4.611
1.067765355 0.963 52.96056929 3763.570017 0.971 -3.707 -4.504 -4.746 -2.706 -3.923 -4.74
1.067775965 0.959 56.5395887 3727.348497 0.912 -3.82 -4.627 -4.876 -2.798 -4.04 -4.869
1.067785144 0.954 60.38827788 3690.625686 0.853 -3.933 -4.749 -5.005 -2.888 -4.158 -4.998
1.067791581 0.95 64.29136474 3655.947916 0.797 -4.04 -4.864 -5.127 -2.971 -4.269 -5.12
1.067796111 0.947 68.28929746 3621.595985 0.743 -4.142 -4.975 -5.245 -3.049 -4.375 -5.238
1.067799926 0.944 72.65284825 3586.740858 0.688 -4.247 -5.088 -5.365 -3.123 -4.484 -5.358
1.067803383 0.94 77.40208238 3549.768245 0.631 -4.353 -5.203 -5.488 -3.198 -4.595 -5.48
1.067806602 0.936 82.42380225 3513.985782 0.574 -4.459 -5.317 -5.61 -3.263 -4.705 -5.602
1.067809463 0.932 87.5694546 3478.564015 0.52 -4.561 -5.426 -5.727 -3.323 -4.81 -5.719
1.067812443 0.927 93.27229113 3441.121444 0.463 -4.667 -5.538 -5.848 -3.375 -4.918 -5.839
1.067815542 0.921 99.87404621 3400.948065 0.401 -4.781 -5.658 -5.978 -3.424 -5.034 -5.969
1.067818761 0.913 106.5743383 3361.24369 0.34 -4.89 -5.773 -6.103 -3.452 -5.145 -6.093
1.067822218 0.902 113.6979528 3320.473358 0.279 -4.995 -5.884 -6.226 -3.467 -5.252 -6.215
