# Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
0.8536844254 0.772 8.781175254 5312.512929 2.436 0.599 -0.243 -0.842 -1.261 -1.325
0.8537438512 0.772 8.850191027 5303.957067 2.429 0.591 -0.253 -0.854 -1.274 -1.339
0.853801012 0.772 8.915642481 5296.634439 2.422 0.582 -0.265 -0.868 -1.29 -1.354
0.8538581729 0.772 9.000210041 5286.886659 2.415 0.572 -0.278 -0.883 -1.307 -1.372
0.8539162278 0.772 9.085579751 5277.156818 2.406 0.561 -0.292 -0.9 -1.325 -1.39
0.8539733887 0.772 9.138031375 5271.084762 2.401 0.553 -0.301 -0.91 -1.337 -1.402
0.8540356755 0.772 9.24597351 5261.384003 2.392 0.54 -0.318 -0.929 -1.358 -1.423
0.8540940881 0.772 9.353036837 5249.283155 2.381 0.526 -0.335 -0.95 -1.381 -1.447
0.8541532755 0.772 9.675037229 5217.951042 2.351 0.486 -0.386 -1.009 -1.447 -1.514
0.8542108536 0.772 10.21298384 5170.11258 2.305 0.422 -0.466 -1.101 -1.551 -1.619
0.8542451262 0.772 10.82810965 5120.354149 2.254 0.35 -0.555 -1.203 -1.665 -1.735
0.8542616367 0.772 11.4749987 5072.242399 2.204 0.28 -0.642 -1.303 -1.776 -1.848
0.8542704582 0.772 12.21947775 5021.113055 2.149 0.203 -0.738 -1.413 -1.899 -1.972
0.8542745709 0.772 12.97934107 4973.933791 2.097 0.129 -0.829 -1.518 -2.016 -2.091
0.8542768359 0.772 13.75791573 4929.467413 2.046 0.056 -0.918 -1.62 -2.13 -2.207
0.8542781472 0.772 14.47613568 4892.152651 2.001 -0.009 -0.998 -1.711 -2.231 -2.309
0.8542788029 0.772 14.93319186 4869.675252 1.974 -0.047 -1.046 -1.766 -2.293 -2.373
0.8542796373 0.772 15.74173673 4833.926025 1.929 -0.116 -1.128 -1.86 -2.397 -2.477
0.8542806506 0.772 16.70139105 4794.021749 1.877 -0.196 -1.223 -1.968 -2.513 -2.596
0.8542816639 0.772 17.4282044 4766.504419 1.84 -0.253 -1.291 -2.044 -2.595 -2.679
0.8542842865 0.772 17.54093119 4762.116327 1.834 -0.262 -1.303 -2.057 -2.609 -2.693
0.8542869687 0.772 17.03933514 4781.894607 1.86 -0.223 -1.255 -2.003 -2.552 -2.635
0.8543174863 0.77 17.04718385 4780.793661 1.859 -0.222 -1.255 -2.003 -2.552 -2.635
0.8543437719 0.768 18.14481919 4739.145036 1.803 -0.305 -1.355 -2.116 -2.673 -2.758
0.8543614745 0.766 19.37548779 4695.696293 1.745 -0.391 -1.459 -2.233 -2.798 -2.886
0.8543765545 0.764 20.61354306 4655.860935 1.69 -0.47 -1.556 -2.344 -2.917 -3.008
0.8543936014 0.761 21.9913882 4615.300681 1.632 -0.553 -1.658 -2.46 -3.042 -3.136
0.8544092774 0.758 23.43433559 4575.093773 1.575 -0.635 -1.757 -2.573 -3.164 -3.261
0.8544234037 0.755 24.97771149 4537.326169 1.518 -0.715 -1.854 -2.686 -3.285 -3.386
0.8544360995 0.751 26.60434952 4498.834325 1.461 -0.79 -1.95 -2.797 -3.406 -3.511
0.8544474244 0.746 28.29128312 4461.696246 1.405 -0.863 -2.044 -2.906 -3.526 -3.634
0.854457736 0.741 30.11983891 4424.864744 1.348 -0.933 -2.137 -3.015 -3.647 -3.758
0.8544670343 0.736 32.01493651 4389.347855 1.292 -1.003 -2.228 -3.122 -3.765 -3.88
0.8544756174 0.729 34.2967245 4337.105635 1.228 -1.058 -2.316 -3.233 -3.893 -4.014
0.8544796109 0.725 35.73984337 4295.364268 1.189 -1.071 -2.356 -3.291 -3.966 -4.091
0.8544871211 0.717 38.21665263 4248.151535 1.126 -1.124 -2.441 -3.398 -4.09 -4.22
0.8544944525 0.706 40.82748659 4203.393032 1.063 -1.177 -2.527 -3.505 -4.212 -4.348
0.8545015454 0.693 43.38630299 4167.734068 1.001 -1.237 -2.614 -3.609 -4.329 -4.47
0.8545083404 0.677 46.11610771 4134.28108 0.939 -1.294 -2.701 -3.714 -4.445 -4.59
0.8545145988 0.658 48.89367088 4103.930525 0.875 -1.351 -2.787 -3.816 -4.558 -4.708
0.8545204401 0.634 51.80272967 4077.556618 0.809 -1.415 -2.877 -3.92 -4.67 -4.824
0.8545252681 0.607 54.62011936 4058.821947 0.743 -1.484 -2.968 -4.022 -4.778 -4.935
0.8545287848 0.581 56.89218909 4057.887476 0.689 -1.564 -3.055 -4.112 -4.866 -5.024
0.8545317054 0.551 57.88321497 4104.875598 0.652 -1.7 -3.159 -4.194 -4.926 -5.08
0.8545339108 0.51 53.59850112 4335.108784 0.684 -1.995 -3.299 -4.225 -4.87 -4.997
1.075114965 0.54 1.923767772e-05 4163.89721 7.947 30.542 29.026 28.155 27.618 27.446
