# Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
1.145496845 0.95 160.3439747 3121.044781 0.004 1.546 -2.745 -5.558 -6.473 -6.868
1.145497322 0.947 186.0598407 3037.386092 -0.127 1.796 -2.66 -5.8 -6.724 -7.139
1.145498037 0.943 200.7024365 2994.332334 -0.195 1.859 -2.644 -5.922 -6.85 -7.273
1.145498753 0.939 207.755555 2973.719495 -0.227 1.887 -2.636 -5.975 -6.904 -7.331
1.145499587 0.934 211.3258599 2962.101936 -0.244 1.907 -2.627 -6.001 -6.932 -7.361
1.145499587 0.934 211.3258599 2962.101936 -0.244 1.407 -2.772 -6.001 -6.932 -7.361
1.145499706 0.933 109.1824021 3334.264128 0.329 0.344 -3.005 -4.918 -5.805 -6.142
1.145499945 0.931 80.36235309 3522.086356 0.594 -0.367 -2.925 -4.411 -5.266 -5.557
1.145500183 0.929 83.78237068 3495.425096 0.557 -0.293 -2.949 -4.478 -5.339 -5.636
1.145500541 0.926 104.0764918 3360.469825 0.368 0.219 -3.006 -4.836 -5.72 -6.05
1.145501018 0.923 137.2311317 3195.950175 0.126 1.185 -2.822 -5.293 -6.197 -6.571
1.145501494 0.919 172.5252418 3064.784905 -0.075 1.797 -2.625 -5.665 -6.586 -6.994
1.14550209 0.915 199.6423369 2983.321102 -0.204 1.919 -2.591 -5.9 -6.829 -7.254
1.145502806 0.91 215.3538523 2941.033694 -0.271 1.965 -2.587 -6.018 -6.95 -7.382
1.145503521 0.904 222.2043951 2922.133142 -0.302 1.985 -2.586 -6.067 -7.001 -7.435
1.145504355 0.898 225.9189416 2911.387413 -0.319 2.002 -2.581 -6.09 -7.025 -7.461
1.145504355 0.898 225.9189416 2911.387413 -0.319 1.75 -2.621 -6.09 -7.025 -7.461
1.145504475 0.896 118.1823564 3275.668919 0.243 0.731 -2.906 -5.039 -5.934 -6.288
1.145504713 0.894 86.84656483 3464.974158 0.51 -0.181 -2.951 -4.529 -5.397 -5.701
1.145505071 0.891 90.48001103 3437.953513 0.472 -0.074 -2.96 -4.598 -5.47 -5.78
1.145505428 0.887 112.2929897 3302.934794 0.283 0.561 -2.936 -4.952 -5.844 -6.189
1.145505905 0.882 147.7585583 3139.062769 0.041 1.554 -2.674 -5.401 -6.312 -6.702
1.145506501 0.877 185.5891766 3008.153544 -0.159 1.951 -2.532 -5.766 -6.693 -7.113
1.145507216 0.87 214.8090848 2926.173009 -0.289 2.038 -2.527 -5.996 -6.93 -7.364
1.145508051 0.863 231.3942937 2883.367507 -0.358 2.084 -2.529 -6.112 -7.049 -7.49
1.145508885 0.855 239.0851735 2862.859271 -0.39 2.119 -2.529 -6.161 -7.098 -7.543
1.145509839 0.846 243.1938818 2851.674814 -0.409 2.145 -2.524 -6.184 -7.122 -7.569
1.145509839 0.846 243.1938818 2851.674814 -0.409 1.96 -2.503 -6.184 -7.122 -7.569
1.145509958 0.843 129.1375804 3208.484902 0.138 1.204 -2.753 -5.173 -6.076 -6.447
1.145510197 0.839 94.50453398 3400.948065 0.408 0.106 -2.943 -4.662 -5.54 -5.86
1.145510554 0.834 98.70806646 3372.096543 0.369 0.24 -2.936 -4.73 -5.612 -5.94
1.145510912 0.828 122.3073749 3236.681757 0.178 1.07 -2.774 -5.079 -5.979 -6.344
1.145511389 0.821 160.8246611 3071.849964 -0.063 1.914 -2.5 -5.517 -6.438 -6.845
1.145511985 0.812 201.6288369 2939.679609 -0.265 2.111 -2.441 -5.874 -6.807 -7.24
