# Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
5.171418667 5.171 50.44900961 5400.077591 1.743 -4.749 -5.111 -5.179 -4.286 -4.794 -5.176
5.172534943 5.172 48.44541101 5529.680005 1.778 -4.721 -5.056 -5.119 -4.285 -4.759 -5.117
5.173826694 5.174 46.6930932 5651.971978 1.811 -4.693 -5.003 -5.062 -4.281 -4.724 -5.06
5.175806045 5.176 44.98343802 5778.298856 1.843 -4.664 -4.95 -5.005 -4.275 -4.689 -5.003
5.179331303 5.179 43.52638958 5897.935245 1.872 -4.636 -4.9 -4.953 -4.269 -4.656 -4.951
5.184777737 5.185 44.5607657 5835.794629 1.852 -4.666 -4.941 -4.995 -4.287 -4.688 -4.993
5.196129322 5.196 46.51067526 5738.521327 1.815 -4.722 -5.015 -5.072 -4.326 -4.749 -5.07
5.199999809 5.2 46.89781886 5727.96031 1.809 -4.734 -5.03 -5.087 -4.337 -4.762 -5.084
5.223658085 5.224 49.16461525 5662.39289 1.77 -4.811 -5.118 -5.177 -4.401 -4.841 -5.175
5.234942913 5.235 51.10373529 5579.560615 1.737 -4.859 -5.183 -5.244 -4.434 -4.894 -5.242
5.241671085 5.242 53.08265601 5484.032249 1.705 -4.901 -5.243 -5.308 -4.456 -4.94 -5.306
5.249619961 5.25 56.17623706 5337.034375 1.657 -4.954 -5.329 -5.399 -4.478 -5.003 -5.396
5.254582405 5.255 58.64792415 5220.354551 1.619 -4.991 -5.393 -5.467 -4.487 -5.048 -5.465
5.258965015 5.259 61.32713055 5099.175976 1.581 -5.025 -5.455 -5.535 -4.49 -5.09 -5.532
5.262526989 5.263 63.76063665 4992.292237 1.548 -5.05 -5.506 -5.592 -4.486 -5.123 -5.589
5.26587677 5.266 66.13824169 4887.648887 1.516 -5.069 -5.551 -5.644 -4.474 -5.15 -5.641
5.268548965 5.269 67.95988649 4805.073111 1.492 -5.078 -5.577 -5.678 -4.46 -5.165 -5.675
5.272244453 5.272 69.78348346 4717.370643 1.47 -5.076 -5.589 -5.701 -4.43 -5.167 -5.697
5.275989056 5.276 71.21191173 4632.335437 1.452 -5.06 -5.587 -5.71 -4.387 -5.155 -5.706
5.279405117 5.28 72.36901221 4553.024633 1.438 -5.037 -5.576 -5.711 -4.337 -5.136 -5.706
5.283113003 5.283 73.40956403 4484.355146 1.427 -5.017 -5.575 -5.718 -4.294 -5.124 -5.713
5.290296078 5.291 75.97183999 4385.306978 1.398 -5.016 -5.604 -5.758 -4.26 -5.135 -5.753
5.295797825 5.296 81.4052932 4295.364268 1.338 -5.098 -5.714 -5.879 -4.311 -5.228 -5.874
5.2970891 5.297 88.17645706 4230.580858 1.269 -5.219 -5.856 -6.029 -4.409 -5.359 -6.024
5.297222138 5.297 90.20957668 4214.053064 1.249 -5.256 -5.898 -6.073 -4.44 -5.398 -6.068
5.297350884 5.298 94.00536604 4187.935651 1.213 -5.324 -5.973 -6.153 -4.498 -5.469 -6.148
5.297791004 5.298 95.90751642 4177.341687 1.196 -5.359 -6.011 -6.193 -4.529 -5.505 -6.187
5.298637867 5.299 97.10747123 4165.815197 1.185 -5.377 -6.033 -6.216 -4.543 -5.525 -6.211
5.299034596 5.299 103.3362375 4127.622774 1.131 -5.481 -6.149 -6.338 -4.633 -5.635 -6.332
5.299409866 5.3 109.9898589 4091.664348 1.077 -5.586 -6.265 -6.46 -4.723 -5.744 -6.454
5.299870968 5.3 116.9371877 4056.01918 1.023 -5.69 -6.38 -6.581 -4.814 -5.854 -6.575
5.300431252 5.301 124.3519629 4022.53656 0.97 -5.795 -6.495 -6.702 -4.904 -5.963 -6.696
5.301093578 5.301 132.4197138 3986.57556 0.916 -5.901 -6.611 -6.825 -4.995 -6.074 -6.819
