# I-mag mass-luminocity relation of the PARSEC isochrones model extracted from input_files/CMD3.3*.dat (references therein)
#   Read CMD3.3-thin1.dat
#0.01Gyr     Mini       MIc
    15 4.5163321495 2.859
    15 4.5163335800 -0.561
    15 4.5163369179 -3.130
    15 4.5163421631 -3.978
    15 4.5163497925 -3.607
    15 4.5163598061 -3.242
    15 4.5163736343 -2.884
    15 4.5163908005 -2.661
    15 4.5164117813 -2.487
    15 4.5164370537 -2.307
    15 4.5164370537 9.576
    15 4.5164380074 5.612
    15 4.5164394379 1.406
    15 4.5164427757 -2.370
    15 4.5164480209 -3.540
    15 4.5164556503 -2.977
    15 4.5164661407 -2.365
    15 4.5164794922 -1.745
    15 4.5164966583 -1.209
    15 4.5165176392 -0.726
    15 4.5165433884 -0.273
    15 4.5165433884 15.958
    15 4.5165443420 11.934
    15 4.5165457726 6.329
    15 4.5165491104 0.254
    15 4.5165543556 -2.148
    15 4.5165615082 -0.443
    15 4.5165715218 1.980
    15 4.5165848732 4.689
    15 4.5166015625 7.834
    15 4.5166225433 11.468
    15 4.5166473389 10.323
    15 4.5166969299 30.020
